title,location,distance,description,verdict,rating,experience
Le Palais Rhoul and Spa,"La Palmeraie, Marrakech","6,3 km du centre","Located in the Palmerie district, just 5 km from Marrakech, Le Palais Rhoul and Spa offers luxury accommodation with an outdoor swimming pool, hammam, hot tub and massage treatments. ",Fabuleux  ,"9,2",92 expériences vécues
Riad Dar Zioui,"Médina, Marrakech","1,5 km du centre","Doté d'un bar et d'une terrasse, le Riad Dar Zioui est situé à Marrakech, à quelques pas du musée Boucharouite et à 500 mètres du musée orientaliste de Marrakech. ",Très bien ,"8,5",48 expériences vécues
SUMAHAN SUITES & SPA,Marrakech,"21,6 km du centre",Établissement Voyage Durable,Superbe ,"8,8",27 expériences vécues
The Loft,"Médina, Marrakech","1,4 km du centre","Doté d'un jardin et d'une terrasse, l'établissement The Loft est situé à Marrakech, à 400 mètres de la place Jemaa el-Fna, à moins de 1 km de la mosquée Koutoubia et à 9 minutes à pied du musée...",Exceptionnel ,10,2 expériences vécues
Riad El Jadide,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,9",35 expériences vécues
Riad Minorisa,"Médina, Marrakech",1 km du centre,"Situé à 10 minutes à pied de la place Jamaâ El Fna, à Marrakech, le Riad Minorisa occupe un palais du XVIIIe siècle classé au patrimoine de l'UNESCO. ",Fabuleux  ,"9,1",253 expériences vécues
Riad Rodaina,"Kasbah, Marrakech","1,8 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,8",19 expériences vécues
Dar d'Art,"Médina, Marrakech","0,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",451 expériences vécues
"Dar ""JENNA-ROSE""","Kasbah, Marrakech","1,9 km du centre",Établissement Voyage Durable,Superbe ,"8,9",17 expériences vécues
La Fontaine,"L’Hivernage, Marrakech",200 m du centre,"Situé à Marrakech, à 1,7 km du jardin Majorelle et à 1,6 km du musée Mouassine, l'établissement La Fontaine propose un jardin et la climatisation. ",Très bien ,"8,4",51 expériences vécues
Riad Dar Colline,"Médina, Marrakech","0,7 km du centre","Situé à Marrakech, le Riad Dar Colline dispose d'un restaurant et d'une connexion Wi-Fi gratuite. ",Superbe ,"8,7",167 expériences vécues
Hotel salem leksor,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Superbe ,"8,6",134 expériences vécues
Hôtel Farah Marrakech,"L’Hivernage, Marrakech","0,8 km du centre","L'Hôtel Farah Marrakech est situé dans un quartier résidentiel de Marrakech, à seulement 10 minutes à pied de la médina. ",Note ,"6,1",1 485 expériences vécues
Atlas Widan,Marrakech,"10,7 km du centre","Situé à Marrakech, à 12 km du palais de la Bahia, l'Atlas Widan vous propose un restaurant, un parking privé gratuit, une piscine extérieure et un salon commun. ",Superbe ,"8,8",110 expériences vécues
TOP APPARTEMENT GUELIZ,"Guéliz, Marrakech","0,8 km du centre","Situé à Marrakech, à 1,6 km du jardin Majorelle et de la gare, le TOP APPARTEMENT GUELIZ propose une piscine extérieure ouverte en saison et la climatisation. ",Exceptionnel ,"9,5",18 expériences vécues
Riad Couleurs du Sud,"Médina, Marrakech","1,1 km du centre","À seulement 10 minutes à pied du Jardin Majorelle à Marrakech, le Riad Couleurs du Sud propose une terrasse avec des chaises longues, un hammam et des massages. ",Très bien ,"8,5",60 expériences vécues
Hotel Oudaya,"Guéliz, Marrakech","1,5 km du centre","Situé dans le quartier de Gueliz à Marrakech, à 450 mètres de l'avenue Mohammed VI et à 15 minutes de marche du jardin Marjorelle, cet hôtel propose des chambres climatisées, une piscine avec bar et...",Note ,"6,3",1 608 expériences vécues
Riad Antara,"Médina, Marrakech","1,8 km du centre","Situé à Marrakech, le Riad Antara met à votre disposition une connexion Wi-Fi gratuite, une terrasse bien exposée avec piscine, un restaurant et un salon commun. ",Exceptionnel ,"9,6",55 expériences vécues
Riad Dar Labzar,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Exceptionnel ,10,2 expériences vécues
Dar Beldi,"Médina, Marrakech","1,2 km du centre","Situé dans le quartier de la médina de Marrakech, à proximité du musée orientaliste de Marrakech, le Dar Beldi dispose d'une terrasse et d'un lave-linge. ",Exceptionnel ,10,4 expériences vécues
Diamant La Ville Rouge,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Très bien ,"8,5",77 expériences vécues
Riad Bab 54,"Médina, Marrakech","1,4 km du centre","Ce riad de caractère a été construit dans un style mauresque, avec une touche moderne. Il est climatisé et comprend un patio avec piscine ainsi qu'une terrasse bien exposée. ",Fabuleux  ,"9,2",112 expériences vécues
The Best Appartement 3 ROOMS,"L’Hivernage, Marrakech","1,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",5 expériences vécues
Riad Dar Aby,"Médina, Marrakech","0,6 km du centre","Situé à Marrakech, à 15 minutes de marche du palais de la Bahia, le Riad Dar Aby dispose d'une terrasse avec coin salon et chaises longues, d'un patio et d'un salon traditionnel marocain. ",Fabuleux  ,"9,0",164 expériences vécues
"Moderne, lumineux & spacieux avec balcon -Central -Wifi-Smart TV-Clim",Marrakech,"2,8 km du centre","Situé à Marrakech, à 1,8 km du musée Yves Saint Laurent et à 2,3 km du jardin Majorelle, le Moderne, lumineux & spacieux avec balcon -Central -Wifi-Smart TV-Clim propose une connexion Wi-Fi gratuite,...",Exceptionnel ,10,4 expériences vécues
Riad Moucharabieh Matisse,"Médina, Marrakech","0,6 km du centre",Établissement Voyage Durable,Bien  ,"7,6",23 expériences vécues
Luxueux appartement avec piscine,Marrakech,"1,9 km du centre","Offrant une vue sur le jardin, le Luxueux appartement avec piscine propose un hébergement avec une terrasse et un balcon, à environ 2,9 km de la gare de Marrakech. ",,,
Riad21,"Médina, Marrakech","0,6 km du centre","Situé dans le quartier de la médina de Marrakech, à proximité du Jardin Secret, le Riad21 dispose d'une terrasse, d'une connexion Wi-Fi gratuite et d'un lave-linge. ",,,
Eliigah house & Spa,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Exceptionnel ,10,2 expériences vécues
Ambre Epices Medina Riad,"Médina, Marrakech","0,6 km du centre","Situé en plein cœur du vieux quartier de Dar Elbach, le Ambre Epices Medina Riad vous accueille dans une ancienne boutique d'épices rénovée selon la tradition marocaine. ",Fabuleux  ,"9,4",630 expériences vécues
Hotel Al Kabir,"Guéliz, Marrakech","1,4 km du centre","Situé à 5 minutes de marche de la médina, l'Hotel Al Kabir propose une connexion Wi-Fi gratuite dans ses parties communes, une terrasse fleurie avec piscine et chaises longues ainsi que des services...",Note ,"5,8",1 268 expériences vécues
Zephyr Targa Marrakech,Marrakech,"7,2 km du centre","Situé à Marrakech, à 7,2 km de la gare, le Zephyr Targa Marrakech propose un restaurant, un parking privé gratuit, une piscine extérieure et un salon commun. ",Note ,"6,7",329 expériences vécues
Riad D'Airain,"Médina, Marrakech","0,6 km du centre",Établissement Voyage Durable,Très bien ,"8,0",20 expériences vécues
Riad Makila,"Médina, Marrakech","0,7 km du centre","Occupant une maison marocaine traditionnelle, le Riad Magie d'Orient propose des hébergements autour d'une cour centrale dotée d'un bassin profond et d'une fontaine. ",Fabuleux  ,"9,0",87 expériences vécues
Riad Dar Tiflet,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",90 expériences vécues
Riad Sin,"Médina, Marrakech","1,7 km du centre","Idéalement situé à Marrakech, le Riad Sin propose des chambres climatisées, un salon commun et des services de massage. Il possède une réception ouverte 24h/24, un restaurant et une piscine...",Fabuleux  ,"9,0",60 expériences vécues
Riad BAB ALMADINA,Marrakech,"2,4 km du centre",Établissement Voyage Durable,Bien  ,"7,8",13 expériences vécues
Riad lalla,Marrakech,"2,3 km du centre","Le Riad lalla est situé à Marrakech, à 1,9 km du musée Boucharouite, à 1,8 km du Jardin Secret et à 2,8 km du jardin Majorelle. ",,,
Charming Marrakech Apartement,Marrakech,"0,6 km du centre","Doté d'un balcon avec vue sur la ville, d'une piscine extérieure ouverte en saison et d'une terrasse, le Charming Marrakech Apartement se trouve à Marrakech, à proximité du musée Yves Saint Laurent et...",Très bien ,"8,1",20 expériences vécues
Riad Porte Royale,"Médina, Marrakech","1,3 km du centre","Situé à Marrakech, le Riad Porte Royale propose un restaurant, une piscine extérieure, un bar et un salon commun. ",Exceptionnel ,"9,5",45 expériences vécues
Sakkan,"Médina, Marrakech","0,9 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",146 expériences vécues
La Vie En Rose,Marrakech,"15,2 km du centre",Établissement Voyage Durable,Très bien ,"8,0",38 expériences vécues
Riad L'Aéroport,Marrakech,"5,3 km du centre",Établissement Voyage Durable,Très bien ,"8,2",246 expériences vécues
El Andalous Lounge & Spa Hotel,"L’Hivernage, Marrakech",1 km du centre,"Situé dans le quartier résidentiel de l'Hivernage, l'établissement 4 étoiles El Andalous Lounge & Spa Hotel dispose d'un spa doté d'un hammam, d'une salle de sport ainsi que d'un jardin avec une...",Note ,"6,6",2 179 expériences vécues
"Cosy Duplex, dans résidence avec piscine",Marrakech,"5,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",17 expériences vécues
Riad dunia,"Kasbah, Marrakech","1,8 km du centre","Situé à Marrakech, à 1,3 km du palais de la Bahia, le Riad dunia propose un restaurant, une connexion Wi-Fi gratuite, une réception ouverte 24h/24 et un service de navette gratuit. ",,,
RIAD DOUIRTNA,"Guéliz, Marrakech","1,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",23 expériences vécues
Dar Catalina,"Médina, Marrakech","0,9 km du centre",L'hôtel Dar Catalina est une demeure typiquement marocaine proposant un hébergement confortable et une expérience authentique à seulement 5 minutes à pied de la célèbre place animée de Jamaâ El Fna. ,Très bien ,"8,3",15 expériences vécues
Superbe appartement à l Hivernage,"Guéliz, Marrakech",500 m du centre,"Situé dans le quartier de Gueliz à Marrakech, le Superbe appartement à l Hivernage dispose de la climatisation, d'une terrasse et d'une vue sur la ville. ",Exceptionnel ,"9,8",13 expériences vécues
LOCATION EXCLUSIVE AVEC SERVICES 2P DONKEY IN LOVE TO MARRAKECH,"Médina, Marrakech","0,5 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,9",7 expériences vécues
Hotel salem leksor,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Superbe ,"8,6",134 expériences vécues
Hôtel Farah Marrakech,"L’Hivernage, Marrakech","0,8 km du centre","L'Hôtel Farah Marrakech est situé dans un quartier résidentiel de Marrakech, à seulement 10 minutes à pied de la médina. ",Note ,"6,1",1 485 expériences vécues
Atlas Widan,Marrakech,"10,7 km du centre","Situé à Marrakech, à 12 km du palais de la Bahia, l'Atlas Widan vous propose un restaurant, un parking privé gratuit, une piscine extérieure et un salon commun. ",Superbe ,"8,8",110 expériences vécues
TOP APPARTEMENT GUELIZ,"Guéliz, Marrakech","0,8 km du centre","Situé à Marrakech, à 1,6 km du jardin Majorelle et de la gare, le TOP APPARTEMENT GUELIZ propose une piscine extérieure ouverte en saison et la climatisation. ",Exceptionnel ,"9,5",18 expériences vécues
Riad Couleurs du Sud,"Médina, Marrakech","1,1 km du centre","À seulement 10 minutes à pied du Jardin Majorelle à Marrakech, le Riad Couleurs du Sud propose une terrasse avec des chaises longues, un hammam et des massages. ",Très bien ,"8,5",60 expériences vécues
Hotel Oudaya,"Guéliz, Marrakech","1,5 km du centre","Situé dans le quartier de Gueliz à Marrakech, à 450 mètres de l'avenue Mohammed VI et à 15 minutes de marche du jardin Marjorelle, cet hôtel propose des chambres climatisées, une piscine avec bar et...",Note ,"6,3",1 608 expériences vécues
Riad Antara,"Médina, Marrakech","1,8 km du centre","Situé à Marrakech, le Riad Antara met à votre disposition une connexion Wi-Fi gratuite, une terrasse bien exposée avec piscine, un restaurant et un salon commun. ",Exceptionnel ,"9,6",55 expériences vécues
Riad Dar Labzar,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Exceptionnel ,10,2 expériences vécues
Dar Beldi,"Médina, Marrakech","1,2 km du centre","Situé dans le quartier de la médina de Marrakech, à proximité du musée orientaliste de Marrakech, le Dar Beldi dispose d'une terrasse et d'un lave-linge. ",Exceptionnel ,10,4 expériences vécues
Diamant La Ville Rouge,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Très bien ,"8,5",77 expériences vécues
Riad Bab 54,"Médina, Marrakech","1,4 km du centre","Ce riad de caractère a été construit dans un style mauresque, avec une touche moderne. Il est climatisé et comprend un patio avec piscine ainsi qu'une terrasse bien exposée. ",Fabuleux  ,"9,2",112 expériences vécues
Riad Helen,"Médina, Marrakech","0,6 km du centre",Le Riad Helen est situé à 10 minutes à pied de la place Jamaâ El Fna et à 15 minutes en voiture de l'aéroport de Marrakech-Ménara. ,Exceptionnel ,"9,5",234 expériences vécues
Riad Salma de Groot,"Médina, Marrakech",1 km du centre,"Doté d'une connexion Wi-Fi gratuite dans l'ensemble des locaux, le Riad Tolerance Salma de Groot propose des hébergements à Marrakech. ",Très bien ,"8,1",128 expériences vécues
Riad Azza,"Médina, Marrakech","0,7 km du centre","Ce riad est situé dans la Médina, à 10 minutes de marche de la place Jamaâ El Fna. Il comprend une terrasse bien exposée donnant sur la mosquée Koutoubia. ",Fabuleux  ,"9,4",64 expériences vécues
Le Mas de l'Ourika (14rooms-28pers),Marrakech,8 km du centre,"Doté d'un restaurant, d'une piscine extérieure et d'un bar, Le Mas de l'Ourika (14rooms-28pers) propose un hébergement avec une connexion Wi-Fi gratuite et une vue sur la piscine à Marrakech. ",,,
Riad Le Rihani,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",253 expériences vécues
Dar Al Kounouz,"Médina, Marrakech","0,9 km du centre","Situé à Marrakech, le Dar Al Kounouz se trouve à 5 minutes à pied de la place Jamaâ El Fna et des souks, au cœur de la médina, ainsi que du quartier de Mouassine. ",Fabuleux  ,"9,2",78 expériences vécues
La Villa des Orangers - Relais & Châteaux,Marrakech,"1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",38 expériences vécues
Belle appartement 80m2,Marrakech,"4,2 km du centre","Le Belle appartement 80m2 est situé à Marrakech, à 3,6 km des jardins de la Ménara, à 5,5 km de la place Jemaa el-Fna et à 5,7 km de la gare de Marrakech. ",Note ,"4,0",6 expériences vécues
Riad Dar Tayib,"Médina, Marrakech","1,7 km du centre","Le Riad Dar Tayib est situé à Marrakech, à seulement 15 minutes à pied de la place Jemaa El Fna et à 10 minutes de marche du musée de Marrakech. ",Superbe ,"8,9",21 expériences vécues
Yaad City Hotel,Marrakech,"1,5 km du centre","Doté d'une piscine et d'un restaurant, le Yaad City Hotel est situé à Marrakech, à 2 minutes à pied des jardins Majorelle. Une connexion Wi-Fi gratuite est disponible. ",Bien  ,"7,8",992 expériences vécues
RIAD NOLITA & SPA Kasbah,"Kasbah, Marrakech","2,1 km du centre","Situé à Marrakech, le RIAD NOLITA & SPA Kasbah possède un salon commun, un bar, un restaurant et un jardin. Cet établissement assure un service d’étage et s’ouvre sur une terrasse. ",Fabuleux  ,"9,2",80 expériences vécues
Hostel Kif-Kif,"Médina, Marrakech","0,9 km du centre","Situé à seulement 5 minutes en voiture du centre de Marrakech, l'Hostel Kif-Kif se trouve à 1 km de la place Jamaâ El Fna. ",Bien  ,"7,9",187 expériences vécues
La Casa Ysabella,"Médina, Marrakech","1,4 km du centre","Situé à Marrakech, à moins de 400 mètres de la place Jemaa el-Fna et à moins de 1 km de la mosquée Koutoubia, l'établissement La Casa Ysabella propose des chambres climatisées avec salle de bains...",Superbe ,"8,9",18 expériences vécues
Villa Des 3 Golfs,"La Palmeraie, Marrakech","5,9 km du centre","L'établissement Villa Des 3 Golfs est implanté au cœur du vaste parc privé de la Palmeraie, entre trois parcours de golf de 18 trous. ",Très bien ,"8,2",21 expériences vécues
Riad ViewPoint,Marrakech,2 km du centre,Le Riad ViewPoint est situé à côté du palais royal et à 15 minutes à pied de la place Jamaâ El Fna. ,Superbe ,"8,8",35 expériences vécues
Riad Fatinat Marrakech,"Médina, Marrakech","0,6 km du centre","Le Riad Fatinat Marrakech est situé dans le quartier de Bab Doukkala, où vous trouverez des marchés d'alimentation locaux. ",Fabuleux  ,"9,0",107 expériences vécues
Wazo Appart-Hôtel,Marrakech,"4,6 km du centre",Établissement Voyage Durable,Bien  ,"7,5",2 445 expériences vécues
Riad LakLak la Nouvelle,"Mellah, Marrakech","1,9 km du centre",Établissement Voyage Durable,Très bien ,"8,4",5 expériences vécues
Riad Tchaikana,"Médina, Marrakech","1,6 km du centre","Le Riad Tchaikana, situé dans le centre de Marrakech et au cœur de la médina, possède une terrasse bien exposée avec vue sur cette dernière. ",Fabuleux  ,"9,4",75 expériences vécues
Prestigia 16,Marrakech,"3,7 km du centre","Situé à Marrakech, à moins de 3,3 km des jardins de la Ménara et à 4,2 km de la place Jemaa el-Fna, le Prestigia 16 propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, une...",Très bien ,"8,2",26 expériences vécues
RIAD Dar Barbi Maison D'hôte,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",99 expériences vécues
Riad Le Marocain,Marrakech,"2,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",77 expériences vécues
Riad Bel Haj,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",215 expériences vécues
Grand Mogador Agdal,"L'Agdal, Marrakech","3,6 km du centre","Situé face aux remparts anciens du palais royal, le Grand Mogador Agdal se trouve à 10 minutes en voiture de la place Jemaa el-Fna et de l’aéroport de Marrakech. ",Note ,"6,7",1 081 expériences vécues
Riad Rockech,"Kasbah, Marrakech",2 km du centre,"Doté d'un restaurant, d'un bar, d'un jardin et d'une connexion Wi-Fi gratuite, le Riad Rockech est situé à Marrakech, à 1,9 km de la place Jemaa el-Fna et à 2,1 km du palais de la Bahia. ",Très bien ,"8,5",289 expériences vécues
Yaad City Hotel,Marrakech,"1,5 km du centre","Doté d'une piscine et d'un restaurant, le Yaad City Hotel est situé à Marrakech, à 2 minutes à pied des jardins Majorelle. Une connexion Wi-Fi gratuite est disponible. ",Bien  ,"7,8",992 expériences vécues
Hostel Kif-Kif,"Médina, Marrakech","0,9 km du centre","Situé à seulement 5 minutes en voiture du centre de Marrakech, l'Hostel Kif-Kif se trouve à 1 km de la place Jamaâ El Fna. ",Bien  ,"7,9",187 expériences vécues
La Casa Ysabella,"Médina, Marrakech","1,4 km du centre","Situé à Marrakech, à moins de 400 mètres de la place Jemaa el-Fna et à moins de 1 km de la mosquée Koutoubia, l'établissement La Casa Ysabella propose des chambres climatisées avec salle de bains...",Superbe ,"8,9",18 expériences vécues
Villa Des 3 Golfs,"La Palmeraie, Marrakech","5,9 km du centre","L'établissement Villa Des 3 Golfs est implanté au cœur du vaste parc privé de la Palmeraie, entre trois parcours de golf de 18 trous. ",Très bien ,"8,2",21 expériences vécues
Riad ViewPoint,Marrakech,2 km du centre,Le Riad ViewPoint est situé à côté du palais royal et à 15 minutes à pied de la place Jamaâ El Fna. ,Superbe ,"8,8",35 expériences vécues
Riad Fatinat Marrakech,"Médina, Marrakech","0,6 km du centre","Le Riad Fatinat Marrakech est situé dans le quartier de Bab Doukkala, où vous trouverez des marchés d'alimentation locaux. ",Fabuleux  ,"9,0",107 expériences vécues
Wazo Appart-Hôtel,Marrakech,"4,6 km du centre",Établissement Voyage Durable,Bien  ,"7,5",2 445 expériences vécues
Riad LakLak la Nouvelle,"Mellah, Marrakech","1,9 km du centre",Établissement Voyage Durable,Très bien ,"8,4",5 expériences vécues
Riad Tchaikana,"Médina, Marrakech","1,6 km du centre","Le Riad Tchaikana, situé dans le centre de Marrakech et au cœur de la médina, possède une terrasse bien exposée avec vue sur cette dernière. ",Fabuleux  ,"9,4",75 expériences vécues
Prestigia 16,Marrakech,"3,7 km du centre","Situé à Marrakech, à moins de 3,3 km des jardins de la Ménara et à 4,2 km de la place Jemaa el-Fna, le Prestigia 16 propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, une...",Très bien ,"8,2",26 expériences vécues
RIAD Dar Barbi Maison D'hôte,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",99 expériences vécues
Riad Le Marocain,Marrakech,"2,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",77 expériences vécues
Riad Bel Haj,"Médina, Marrakech","0,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",215 expériences vécues
Grand Mogador Agdal,"L'Agdal, Marrakech","3,6 km du centre","Situé face aux remparts anciens du palais royal, le Grand Mogador Agdal se trouve à 10 minutes en voiture de la place Jemaa el-Fna et de l’aéroport de Marrakech. ",Note ,"6,7",1 081 expériences vécues
Riad Rockech,"Kasbah, Marrakech",2 km du centre,"Doté d'un restaurant, d'un bar, d'un jardin et d'une connexion Wi-Fi gratuite, le Riad Rockech est situé à Marrakech, à 1,9 km de la place Jemaa el-Fna et à 2,1 km du palais de la Bahia. ",Très bien ,"8,5",289 expériences vécues
Appartement Wassim - Gueliz,Marrakech,"0,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",37 expériences vécues
Riad Privé De Luxe Au Coeur De La Kasbah Avec Hammam,"Kasbah, Marrakech","2,2 km du centre","Doté d'un barbecue et d'une terrasse, le Riad Privé De Luxe Au Coeur De La Kasbah Avec Hammam est situé à Marrakech, à 1,9 km du palais de la Bahia et à 1,8 km de la place Jemaa el-Fna. ","Fabuleux  9,0",,43 commentaires externes
Riad Dar Palmyra,Marrakech,"1,3 km du centre","Situé à 7 minutes à pied de la mosquée Koutoubia, le Riad Dar Palmyra affiche une architecture marocaine traditionnelle et propose l'accès à une piscine, un hammam ainsi qu'une salle de massage et des...",Fabuleux  ,"9,0",345 expériences vécues
Riad Espagne,"Médina, Marrakech","1,3 km du centre","Situé à Marrakech, à proximité d'un parc aquatique, le Riad Espagne propose une connexion Wi-Fi gratuite. ",Très bien ,"8,3",708 expériences vécues
Riad Makech,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Superbe ,"8,7",96 expériences vécues
Riad Prada,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,9",99 expériences vécues
Riad Alaoui 146 with swimming pool and free parking,Marrakech,"2,3 km du centre","Situé à Marrakech, à 1,4 km du musée orientaliste et à 1,8 km du musée Boucharouite, le Riad Alaoui 146 dispose d'une piscine extérieure ouverte en saison et d'un jardin. ",Bien  ,"7,1",25 expériences vécues
Riad Jenaï L'Authentique,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",49 expériences vécues
Riad Dar Sirine,Marrakech,"1,3 km du centre","Situé à Marrakech, à 1,3 km de la place Jemaa el-Fna, le Riad Dar Sirine offre une vue sur la montagne. ",Fabuleux  ,"9,1",327 expériences vécues
Appart-Hotel Amina Resort,"L’Hivernage, Marrakech","1,1 km du centre",Établissement Voyage Durable,Très bien ,"8,0",598 expériences vécues
Riad Dar Marhaba,"Médina, Marrakech","1,5 km du centre","Situé à 2 minutes à pied de la place Jamaa El Fna, le Riad Dar Marhaba propose un hébergement Bed & Breakfast avec connexion Wi-Fi gratuite. ",Superbe ,"8,8",82 expériences vécues
Riad Miramare pour Familles,"Médina, Marrakech","0,9 km du centre","Situé à Marrakech, à 500 mètres du Jardin Secret, le Riad Miramare pour Familles propose un salon commun, une connexion Wi-Fi gratuite, une réception ouverte 24h/24 et une cuisine commune. ",Très bien ,"8,2",13 expériences vécues
Annexe36,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Bien  ,"7,6",21 expériences vécues
Riad Des Nations,"Médina, Marrakech","1,4 km du centre","Situé à Marrakech, le Riad Des Nations propose des hébergements réservés aux adultes, un restaurant, un bar et un salon commun. Il propose un service d'étage et une terrasse. ",Superbe ,"8,6",36 expériences vécues
2 Rooms Apartment Marrakech District,Marrakech,"2,4 km du centre","Situated in Marrakech, 1.4 km from Marrakesh Train Station, 2.3 km from Majorelle Gardens and 2.6 km from Yves Saint Laurent Museum, 2 Rooms Apartment Marrakech District features accommodation with a...",,,
RIAD AL HAMAMA avec bassin chauffé,"Kasbah, Marrakech","2,2 km du centre",Établissement Voyage Durable,"Fabuleux  9,0",,14 commentaires externes
Superbe appartement à la Palmeraie,Marrakech,"7,5 km du centre","Offrant une vue sur le jardin, le Superbe appartement à la Palmeraie propose un hébergement avec une terrasse et un balcon, à environ 7,7 km du musée Yves Saint Laurent. ",Exceptionnel ,10,2 expériences vécues
Riad Zen House,"Médina, Marrakech","1,1 km du centre","Situé à 15 minutes à pied de la place Jemaa El Fna, le Riad Zen House dispose d'une terrasse avec chaises longues et d'un patio agrémenté d'une petite piscine. ",Superbe ,"8,6",179 expériences vécues
Riad El Habib,"Médina, Marrakech","1,3 km du centre","Le Riad El Habib est idéalement situé dans le quartier de la médina de Marrakech, à 200 mètres de la place Jemaa el-Fna, à 600 mètres de la mosquée Koutoubia et à 800 mètres du musée Mouassine. ",Fabuleux  ,"9,4",112 expériences vécues
Villa les Iris,Marrakech,"18,7 km du centre","Située à Marrakech, à 17 km du palais de la Bahia, la Villa les Iris propose une piscine extérieure, une connexion Wi-Fi gratuite, une réception ouverte 24h/24 et une cuisine commune. ",,,
Dar Dolly,Marrakech,"11,3 km du centre",Établissement Voyage Durable,Superbe ,"8,9",10 expériences vécues
Riad Al Karama,"Médina, Marrakech","1,6 km du centre","Le Riad Al Karama est situé au cœur de la médina, à seulement quelques pas de la place Jamaâ El Fna. Cette demeure typiquement marocaine offre un service personnalisé et une connexion Wi-Fi gratuite. ",Fabuleux  ,"9,0",25 expériences vécues
Riad Marchica,Marrakech,"1,1 km du centre","Situé à Marrakech, à 1,2 km de la place Jemaa el-Fna, le Riad Marchica propose des hébergements climatisés et un salon commun. ",Fabuleux  ,"9,0",179 expériences vécues
Domaine Da vinci,Marrakech,"2,7 km du centre",Établissement Voyage Durable,Très bien ,"8,2",12 expériences vécues
En plein cœur du quartier Majorelle au calme,Marrakech,"1,5 km du centre","Situé à Marrakech, à 300 mètres du musée Yves Saint Laurent et à 800 mètres du jardin Majorelle, l'établissement En plein cœur du quartier Majorelle au calme dispose d'une terrasse et de la...",Exceptionnel ,"9,8",6 expériences vécues
Riad Vendôme & Spa,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Superbe ,"8,8",45 expériences vécues
Riad Lalla Merieme,"Kasbah, Marrakech","1,8 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",40 expériences vécues
Riad Noureddine,Marrakech,"2,4 km du centre","Situé à Qaria Assiyahia, à Marrakech, le Riad Noureddine propose une piscine extérieure et une terrasse. ",Fabuleux  ,"9,1",22 expériences vécues
RIAD DAR En-Nawat,"Médina, Marrakech","1,4 km du centre","Idéalement situé à Marrakech, le RIAD DAR En-Nawat propose des chambres climatisées, un salon commun et une terrasse. ",Exceptionnel ,"9,7",8 expériences vécues
Riad El Maktoub,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Très bien ,"8,5",165 expériences vécues
DAR AZIZ,"Médina, Marrakech","2,1 km du centre","Situé à Marrakech, à 700 mètres du musée orientaliste, le DAR AZIZ propose un restaurant, une connexion Wi-Fi gratuite, une réception ouverte 24h/24 et un bureau d'excursions. ",Superbe ,"8,9",13 expériences vécues
DAR HIBA,"Médina, Marrakech","1,4 km du centre","Situé dans le centre de Marrakech, à 1 km du Jardin Secret et à moins de 1 km du musée orientaliste de Marrakech, le DAR HIBA propose une connexion Wi-Fi gratuite et la climatisation. ",Très bien ,"8,3",24 expériences vécues
Riad Dar Benbrahim,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Très bien ,"8,4",55 expériences vécues
